cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean
1713,997500.0,1757500.0,0.0,0.0,0.0,,57.99361707343657,335.3392028808594,82.86758379371483,,
1714,997500.0,1762500.0,1.0,1.0,0.0,산록하사면,57.43036825337801,346.47210693359375,63.999293189878365,,
1715,997500.0,1767500.0,0.0,0.0,0.0,,56.6762649141654,357.8184814453125,38.299886939800146,,
1716,997500.0,1772500.0,0.0,0.0,0.0,,55.464622016067295,305.13140869140625,53.10650780406146,,
1717,997500.0,1777500.0,0.0,0.0,0.0,,54.68500330209168,476.6559143066406,39.25494459530732,,
1718,997500.0,1782500.0,0.0,0.0,0.0,,54.240174204799935,320.94635009765625,58.22461502531651,,
1719,997500.0,1787500.0,23.0,4.0,26.0,산록하평지,54.222782837950234,236.87110900878906,77.15393836799865,,
1720,997500.0,1792500.0,0.0,0.0,0.0,,54.66464908527243,156.48867797851562,6.526468158418652,,
1721,997500.0,1797500.0,0.0,0.0,0.0,,55.55481563771445,260.3839111328125,25.26575320038671,,
1722,997500.0,1802500.0,0.0,0.0,0.0,,56.87223594571351,380.1042785644531,19.27208798528834,,
1723,997500.0,1807500.0,0.0,0.0,0.0,,58.588095227523596,160.19345092773438,70.73560288797769,,
1724,997500.0,1812500.0,0.0,0.0,0.0,,60.66859635193351,130.4285430908203,95.04582511418268,,
1725,997500.0,1817500.0,0.0,0.0,0.0,,63.07766850667758,177.81817626953125,50.50211563556175,,
1726,997500.0,1822500.0,0.0,0.0,0.0,,65.77922122648437,163.1311798095703,50.143164683437504,,
1727,997500.0,1827500.0,0.0,0.0,0.0,,65.28268496192788,76.47906494140625,24.544331793580078,,
1744,1002500.0,1642500.0,0.0,0.0,0.0,,3.1968931966732157,-2.75,1.0,,
1745,1002500.0,1647500.0,0.0,0.0,0.0,,0.9070738937502237,50.24641418457031,42.229935106255446,,
1746,1002500.0,1652500.0,0.0,0.0,0.0,,0.3105828118299643,43.83580017089844,100.98246094819815,,
1747,1002500.0,1657500.0,0.0,0.0,0.0,,2.5378346242870156,7.005066871643066,16.62980201770517,,
1748,1002500.0,1662500.0,0.0,0.0,0.0,,5.529333358635992,33.633087158203125,35.5898760555799,,
1749,1002500.0,1667500.0,0.0,0.0,0.0,,8.537379860649125,139.0135955810547,53.23382732636037,,
1750,1002500.0,1672500.0,0.0,0.0,0.0,,12.647775288890518,540.5504150390625,60.45895939954921,,
1751,1002500.0,1677500.0,0.0,0.0,0.0,,17.235010433171254,686.8321533203125,107.22112007661833,,
1752,1002500.0,1682500.0,0.0,0.0,0.0,,22.002839578217497,302.7550048828125,115.53908964030066,,
1753,1002500.0,1687500.0,0.0,0.0,0.0,,26.855247427235273,121.79472351074219,173.86174802379094,,
1754,1002500.0,1692500.0,0.0,0.0,0.0,,31.639089120999557,321.63983154296875,66.56591209153686,,
1755,1002500.0,1697500.0,0.0,0.0,0.0,,35.910411059065815,817.1907958984375,218.10327893479248,,
1756,1002500.0,1702500.0,0.0,0.0,0.0,,40.34951405476404,818.4556884765625,64.07688768678688,,
1757,1002500.0,1707500.0,0.0,0.0,0.0,,44.906669287313264,1008.2496948242188,135.37266924134886,,
1758,1002500.0,1712500.0,0.0,0.0,0.0,,49.54931491458433,543.336181640625,70.49615836638586,,
1759,1002500.0,1717500.0,0.0,0.0,0.0,,54.255509126071,470.0601501464844,4.7946616578533074,,
1760,1002500.0,1722500.0,0.0,0.0,0.0,,59.01004942002419,355.99188232421875,76.39204987375838,,
1761,1002500.0,1727500.0,0.0,0.0,0.0,,63.80212844865147,402.61541748046875,25.952292051326147,,
1762,1002500.0,1732500.0,0.0,0.0,0.0,,68.62388255267072,461.60968017578125,71.9235741662542,,
1763,1002500.0,1737500.0,0.0,0.0,0.0,,68.70206405204468,512.1273193359375,75.600840325529,,
1764,1002500.0,1742500.0,1.0,1.0,0.0,,66.75481272657315,553.54150390625,73.50496789103852,,
1765,1002500.0,1747500.0,0.0,0.0,0.0,,65.12443933438557,356.6042785644531,38.01728323281746,,
1766,1002500.0,1752500.0,0.0,0.0,0.0,,63.84496984944299,448.2472839355469,76.21594769017338,,
1767,1002500.0,1757500.0,0.0,0.0,0.0,,62.937808601305,422.22906494140625,23.01656343739135,,
1768,1002500.0,1762500.0,0.0,0.0,0.0,,62.41919038238735,520.0242309570312,86.91153213512818,,
1769,1002500.0,1767500.0,0.0,0.0,0.0,,61.48699231953016,330.3756408691406,70.77118093261186,,
1770,1002500.0,1772500.0,0.0,0.0,0.0,,60.37197624118762,269.3402099609375,79.84949241613934,,
1771,1002500.0,1777500.0,0.0,0.0,0.0,,59.65590325367699,316.751220703125,50.95269200878383,,
1772,1002500.0,1782500.0,0.0,0.0,0.0,,59.234546219507884,406.3285827636719,103.38026559511506,,
1773,1002500.0,1787500.0,0.0,0.0,0.0,,59.218621621543015,203.42807006835938,42.88584509720828,,
1774,1002500.0,1792500.0,0.0,0.0,0.0,,59.62347547468151,184.14857482910156,45.25580879377267,,
1775,1002500.0,1797500.0,0.0,0.0,0.0,,60.44065278109109,201.40359497070312,44.02649177596055,,
1776,1002500.0,1802500.0,0.0,0.0,0.0,,61.653760546530165,391.44378662109375,244.75270297980796,,
1777,1002500.0,1807500.0,0.0,0.0,0.0,,63.24001795108336,197.94772338867188,89.85857519453789,,
1778,1002500.0,1812500.0,0.0,0.0,0.0,,65.17218387761616,195.06521606445312,66.94211747155717,,
1779,1002500.0,1817500.0,0.0,0.0,0.0,,67.42052530425937,207.7068328857422,102.05890507870518,,
1780,1002500.0,1822500.0,0.0,0.0,0.0,,69.95456320517444,115.35272216796875,40.339212704183964,,
1781,1002500.0,1827500.0,0.0,0.0,0.0,,69.57933986704172,118.96449279785156,39.60572695386125,,
1795,1007500.0,1627500.0,0.0,0.0,0.0,,0.13091285704848113,20.25,9.372700411218885,,
1796,1007500.0,1632500.0,0.0,0.0,0.0,,2.2553319350638725,45.812644958496094,80.65831859072397,,
1797,1007500.0,1637500.0,0.0,0.0,0.0,,0.3675940461890372,63.08481979370117,17.21049599556553,,
1798,1007500.0,1642500.0,0.0,0.0,0.0,,1.0458777036308509,55.05508804321289,20.072360976658523,,
1799,1007500.0,1647500.0,0.0,0.0,0.0,,3.361465337308523,255.29122924804688,42.996174622424654,,
1800,1007500.0,1652500.0,0.0,0.0,0.0,,0.9420036281489466,46.146175384521484,40.180406081394,,
1801,1007500.0,1657500.0,0.0,0.0,0.0,,0.6129533691464534,6.945955276489258,12.876563480251779,,
1802,1007500.0,1662500.0,0.0,0.0,0.0,,1.4832395249903745,19.182811737060547,30.99421383387286,,
1803,1007500.0,1667500.0,2.0,2.0,1.0,산록하평지,6.267325136112377,88.46534729003906,90.07626694404252,,
1804,1007500.0,1672500.0,0.0,0.0,0.0,,11.24093987329344,303.3424072265625,45.142782565722186,,
1805,1007500.0,1677500.0,0.0,0.0,0.0,,16.230776140044895,666.71435546875,191.4732618943682,,
1806,1007500.0,1682500.0,0.0,0.0,0.0,,20.58854118236227,588.2269897460938,189.84856694979422,,
1807,1007500.0,1687500.0,3.0,2.0,3.0,구릉정상부,24.74699355562916,630.175048828125,30.485238463319728,,
1808,1007500.0,1692500.0,0.0,0.0,0.0,,29.17086478092268,435.1162109375,235.72372585464308,,
1809,1007500.0,1697500.0,0.0,0.0,0.0,,33.755962645011316,568.2939453125,180.2164535520457,,
1810,1007500.0,1702500.0,0.0,0.0,0.0,,38.44464430991557,1257.5506591796875,257.3124476524941,,
1811,1007500.0,1707500.0,0.0,0.0,0.0,,43.20319823971887,724.9973754882812,199.99082182509167,,
1812,1007500.0,1712500.0,0.0,0.0,0.0,,48.0108529414441,745.1275024414062,141.0099921839774,,
1813,1007500.0,1717500.0,0.0,0.0,0.0,,52.85421139502032,492.5740051269531,41.0411113848545,,
1814,1007500.0,1722500.0,0.0,0.0,0.0,,57.72428712607908,655.1439208984375,99.93631186132764,,
1815,1007500.0,1727500.0,0.0,0.0,0.0,,62.614846372394325,811.0572509765625,41.071177666932535,,
1816,1007500.0,1732500.0,0.0,0.0,0.0,,67.52143843449329,613.9478759765625,134.45837862990786,,
1817,1007500.0,1737500.0,0.0,0.0,0.0,,72.44080556073071,862.4141235351562,42.277930298834384,,
1818,1007500.0,1742500.0,0.0,0.0,0.0,,71.44307630858262,473.60015869140625,44.95886632185553,,
1819,1007500.0,1747500.0,27.0,2.0,12.0,구릉정상,69.92210472298568,359.8418273925781,19.107335112087497,,
1820,1007500.0,1752500.0,0.0,0.0,0.0,,68.73200350164683,618.5006103515625,58.836852762575745,,
1821,1007500.0,1757500.0,0.0,0.0,0.0,,67.89017514934402,516.3087158203125,59.483773182846505,,
1822,1007500.0,1762500.0,0.0,0.0,0.0,,67.40966887818709,488.4062194824219,89.94689004525002,,
1823,1007500.0,1767500.0,0.0,0.0,0.0,,66.32572234347143,421.2105712890625,13.926700454875268,,
1824,1007500.0,1772500.0,0.0,0.0,0.0,,65.29338967420689,388.21734619140625,109.97879425037029,,
1825,1007500.0,1777500.0,0.0,0.0,0.0,,64.62742526563753,201.53884887695312,24.490630734800153,,
1826,1007500.0,1782500.0,0.0,0.0,0.0,,64.22979397363024,330.4401550292969,46.13799077473909,,
1827,1007500.0,1787500.0,0.0,0.0,0.0,,64.215108150804,158.73666381835938,3.900093981146194,,
1828,1007500.0,1792500.0,0.0,0.0,0.0,,64.58865067288463,319.9915771484375,57.56520931064617,,
1829,1007500.0,1797500.0,0.0,0.0,0.0,,65.34376386977097,393.83770751953125,130.61261279925424,,
1830,1007500.0,1802500.0,1.0,1.0,0.0,,66.46744434377518,466.3255920410156,54.35614412488188,,
1831,1007500.0,1807500.0,0.0,0.0,0.0,,67.94140739282133,136.33551025390625,44.46800574032571,,
1832,1007500.0,1812500.0,0.0,0.0,0.0,,69.74344786029569,123.58767700195312,26.346630442823436,,
1833,1007500.0,1817500.0,0.0,0.0,0.0,,71.84888447544783,110.96028900146484,29.22897438362493,,
1834,1007500.0,1822500.0,0.0,0.0,0.0,,74.23190608687558,321.20562744140625,50.32866500172052,,
1835,1007500.0,1827500.0,0.0,0.0,0.0,,73.71974168216843,108.63607788085938,51.436923886174526,,
1849,1012500.0,1627500.0,0.0,0.0,0.0,,0.5777893574616121,25.74020767211914,15.481411926270441,,
1850,1012500.0,1632500.0,0.0,0.0,0.0,,0.443480728209866,0.5,8.597317728058961,,
1851,1012500.0,1637500.0,0.0,0.0,0.0,,1.6683621662784474,77.93177032470703,54.18893142235269,,
1852,1012500.0,1642500.0,0.0,0.0,0.0,,4.284680727563437,53.00294494628906,22.677940851025987,,
1853,1012500.0,1647500.0,0.0,0.0,0.0,,0.2694426710504045,1.229819416999817,13.357813729670937,,
1854,1012500.0,1652500.0,0.0,0.0,0.0,,3.3295479541666326,0.29486215114593506,4.845801793084499,,
1855,1012500.0,1657500.0,0.0,0.0,0.0,,0.847461338520099,16.786579132080078,55.939262151703346,,
1856,1012500.0,1662500.0,0.0,0.0,0.0,,3.241190753939067,213.76205444335938,84.00559527035381,,
1857,1012500.0,1667500.0,0.0,0.0,0.0,,7.297674592751483,338.70587158203125,109.45863847406562,,
1858,1012500.0,1672500.0,0.0,0.0,0.0,,9.835857645833535,381.24346923828125,172.8549988776616,,
