cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean,marine_dist_km,marine_curr_p90,marine_curr_mean,marine_depth,marine_grad,risk_score,landform_g,y,dist_coast_km_z,elev_m_z,marine_curr_p90_z,marine_grad_z,marine_depth_z
1801,1007500.0,1657500.0,0.0,0.0,0.0,,0.6129533691464534,6.945955276489258,12.876563480251779,,,31.79092012327889,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-1.033371471607373,-0.8360307615705249,-0.7476868783715466,0.22384278363579274,1.5618961
1802,1007500.0,1662500.0,0.0,0.0,0.0,,1.4832395249903745,19.182811737060547,30.99421383387286,,,35.332095891978774,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.9974001962436029,-0.777798193224336,-0.7476868783715466,0.22384278363579274,1.5618961
1803,1007500.0,1667500.0,2.0,2.0,1.0,산록하평지,6.267325136112377,88.46534729003906,90.07626694404252,,,39.192491601775814,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,산록,2,-0.7996610276656041,-0.4480975058144804,-0.7476868783715466,0.22384278363579274,1.5618961
1804,1007500.0,1672500.0,0.0,0.0,0.0,,11.24093987329344,303.3424072265625,45.142782565722186,,,43.28678546381739,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.5940881088467848,0.5744562128713367,-0.7476868783715466,0.22384278363579274,1.5618961
1805,1007500.0,1677500.0,0.0,0.0,0.0,,16.230776140044895,666.71435546875,191.4732618943682,,,47.554602233914615,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.38784471043561536,2.303665171011975,-0.7476868783715466,0.22384278363579274,1.5618961
1806,1007500.0,1682500.0,0.0,0.0,0.0,,20.58854118236227,588.2269897460938,189.84856694979422,,,51.95319616213348,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.2077265214293755,1.9301606763336474,-0.7476868783715466,0.22384278363579274,1.5618961
1807,1007500.0,1687500.0,3.0,2.0,3.0,구릉정상부,24.74699355562916,630.175048828125,30.485238463319728,,,56.45200606972622,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,구릉,3,-0.035846462897531906,2.129782468528006,-0.7476868783715466,0.22384278363579274,1.5618961
1808,1007500.0,1692500.0,0.0,0.0,0.0,,29.17086478092268,435.1162109375,235.72372585464308,,,61.02887338900899,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.14700407304438545,1.2015394066278,-0.7476868783715466,0.22384278363579274,1.5618961
1809,1007500.0,1697500.0,0.0,0.0,0.0,,33.755962645011316,568.2939453125,180.2164535520457,,,65.6674788991246,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.3365185410517857,1.835303604497677,-0.7476868783715466,0.22384278363579274,1.5618961
1810,1007500.0,1702500.0,0.0,0.0,0.0,,38.44464430991557,1257.5506591796875,257.3124476524941,,,70.35561230493457,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.5303144070767739,5.115328080364312,-0.7476868783715466,0.22384278363579274,1.5618961
1811,1007500.0,1707500.0,0.0,0.0,0.0,,43.20319823971887,724.9973754882812,199.99082182509167,,,75.08399683446228,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.7269982823664125,2.581021529456274,-0.7476868783715466,0.22384278363579274,1.5618961
1812,1007500.0,1712500.0,0.0,0.0,0.0,,48.0108529414441,745.1275024414062,141.0099921839774,,,79.84548189141843,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.9257116250622796,2.6768164746198777,-0.7476868783715466,0.22384278363579274,1.5618961
1813,1007500.0,1717500.0,0.0,0.0,0.0,,52.85421139502032,492.5740051269531,41.0411113848545,,,84.63448101281246,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.125900700171822,1.4749686928124957,-0.7476868783715466,0.22384278363579274,1.5618961
1814,1007500.0,1722500.0,0.0,0.0,0.0,,57.72428712607908,655.1439208984375,99.93631186132764,,,89.44657497156275,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.3271940724586104,2.2486039611267548,-0.7476868783715466,0.22384278363579274,1.5618961
1815,1007500.0,1727500.0,0.0,0.0,0.0,,62.614846372394325,811.0572509765625,41.071177666932535,,,94.27822745458614,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.5293340837074934,2.9905619696325156,-0.7476868783715466,0.22384278363579274,1.5618961
1816,1007500.0,1732500.0,0.0,0.0,0.0,,67.52143843449329,613.9478759765625,134.45837862990786,,,99.12657852369347,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.7321367744986627,2.0525608425990933,-0.7476868783715466,0.22384278363579274,1.5618961
1817,1007500.0,1737500.0,0.0,0.0,0.0,,72.44080556073071,862.4141235351562,42.277930298834384,,,97.7462784566628,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.9354674931652938,3.2349582817859726,-0.5732816448213731,-0.5997119205130237,-1.0868822
1818,1007500.0,1742500.0,0.0,0.0,0.0,,71.44307630858262,473.60015869140625,44.95886632185553,,,96.2166973283745,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.894228650715014,1.3846762379726278,-0.5732816448213731,-0.5997119205130237,-1.0868822
1819,1007500.0,1747500.0,27.0,2.0,12.0,구릉정상,69.92210472298568,359.8418273925781,19.107335112087497,,,94.92613305846074,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,구릉,27,1.8313627906084335,0.8433248031778989,-0.5732816448213731,-0.5997119205130237,-1.0868822
1820,1007500.0,1752500.0,0.0,0.0,0.0,,68.73200350164683,618.5006103515625,58.836852762575745,,,93.88444296093553,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.782172695539041,2.0742263264190983,-0.5732816448213731,-0.5997119205130237,-1.0868822
1821,1007500.0,1757500.0,0.0,0.0,0.0,,67.89017514934402,516.3087158203125,59.483773182846505,,,93.09998132512017,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.7473776579914782,1.5879170768261088,-0.5732816448213731,-0.5997119205130237,-1.0868822
1822,1007500.0,1762500.0,0.0,0.0,0.0,,67.40966887818709,488.4062194824219,89.94689004525002,,,92.57928718342073,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.727517037116677,1.4551350972171362,-0.5732816448213731,-0.5997119205130237,-1.0868822
1823,1007500.0,1767500.0,0.0,0.0,0.0,,66.32572234347143,421.2105712890625,13.926700454875268,,,92.32682333993115,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.6827146017130576,1.135365457964247,-0.5732816448213731,-0.5997119205130237,-1.0868822
1824,1007500.0,1772500.0,0.0,0.0,0.0,,65.29338967420689,388.21734619140625,109.97879425037029,,,92.3447897864055,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.64004550665303,0.9783577949544638,-0.5732816448213731,-0.5997119205130237,-1.0868822
